Weights of Attributes:
Attribute 1: 0.0625 Attribute 2: 0.125 Attribute 3: 4.8828125E-4 Attribute 4: 4.0 Attribute 5: 1.0 Attribute 6: 0.0625 Attribute 7: 0.0625 Attribute 8: 0.03125 Attribute 9: 0.00390625 Attribute 10: 0.25 Attribute 11: 0.00390625 Attribute 12: 4.0 Attribute 13: 0.25 Attribute 14: 0.25 Attribute 15: 0.03125 Attribute 16: 0.5 

Value from Winnow2 function: 0.94580078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 2.03955078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.25439453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Republican Incorrect
Value from Winnow2 function: 5.78515625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.59814453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 2.03955078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.68798828125, Theta Value: 8.0, Actual Value: Democrat, Classification: Republican Incorrect
Value from Winnow2 function: 0.94580078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 4.81640625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.2578125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.25390625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 4.84814453125, Theta Value: 8.0, Actual Value: Republican, Classification: Democrat Incorrect
Value from Winnow2 function: 5.00390625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 4.75439453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 2.06689453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 2.19140625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.71923828125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 8.9375, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.21875, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 9.94140625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 9.16064453125, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 9.9375, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.5, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.0625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 2.37939453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.56640625, Theta Value: 8.0, Actual Value: Democrat, Classification: Republican Incorrect
Value from Winnow2 function: 5.25439453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.5625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.06640625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 0.97705078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.3125, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.59814453125, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 0.78564453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.03173828125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 6.5, Theta Value: 8.0, Actual Value: Republican, Classification: Democrat Incorrect
Value from Winnow2 function: 1.28955078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.03173828125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.78564453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 6.59423828125, Theta Value: 8.0, Actual Value: Republican, Classification: Democrat Incorrect
Value from Winnow2 function: 2.06689453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.69580078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.07080078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.25830078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.37939453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.94189453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.40625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 1.12890625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 4.94189453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.31689453125, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 0.84814453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.06640625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.375, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 9.96875, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 1.25390625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.84375, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 1.16064453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.06689453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.43798828125, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.31640625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 5.56298828125, Theta Value: 8.0, Actual Value: Republican, Classification: Democrat Incorrect
Value from Winnow2 function: 4.6328125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.94140625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.12939453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.19189453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.47314453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.28564453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.78564453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 2.03173828125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.69140625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 6.1875, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 5.0390625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.1875, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 0.78955078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.00439453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.9375, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 0.69189453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.19580078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.62939453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 4.81689453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.81640625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 0.91064453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 0.69189453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 1.19189453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 9.62890625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.06640625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 1.19580078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 2.22314453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 6.06640625, Theta Value: 8.0, Actual Value: Republican, Classification: Democrat Incorrect
Value from Winnow2 function: 0.88330078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.15625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 10.3125, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 9.875, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 4.44189453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.28564453125, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 0.7890625, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.44189453125, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 4.5703125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.37939453125, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 5.06689453125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 5.12939453125, Theta Value: 8.0, Actual Value: Republican, Classification: Democrat Incorrect
Value from Winnow2 function: 9.5625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 9.5625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
Value from Winnow2 function: 5.60205078125, Theta Value: 8.0, Actual Value: Democrat, Classification: Democrat Correct
Value from Winnow2 function: 10.31640625, Theta Value: 8.0, Actual Value: Republican, Classification: Republican Correct
The total number of correct classifications are 112.
The total number of incorrect classifications are 14.
